what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1511185857940
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511185857970
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511185860368
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511185860576
stopped,bundle,com.collabnet.subversion.merge,2.2.4,com.collabnet.subversion.merge,1511185860768
stopped,bundle,com.hundsun.ares.studio.generate,1.0.0,com.hundsun.ares.studio.generate,1511185860770
stopped,bundle,com.hundsun.ares.studio.jres.component.editor,1.0.0,com.hundsun.ares.studio.jres.component.editor,1511185860770
stopped,bundle,com.hundsun.ares.studio.jres.entity.editor,1.0.0,com.hundsun.ares.studio.jres.entity.editor,1511185860771
stopped,bundle,com.hundsun.ares.studio.jres.flow2.datacolletor,1.0.0,com.hundsun.ares.studio.jres.flow2.datacolletor,1511185860772
stopped,bundle,com.hundsun.ares.studio.jres.vsubflow.editor,1.0.0,com.hundsun.ares.studio.jres.vsubflow.editor,1511185860774
stopped,bundle,com.hundsun.ares.studio.jres.subflow.editor,1.0.0,com.hundsun.ares.studio.jres.subflow.editor,1511185860776
stopped,bundle,com.hundsun.ares.studio.jres.service2.editor,1.0.0,com.hundsun.ares.studio.jres.service2.editor,1511185860782
stopped,bundle,com.hundsun.ares.studio.jres.flow2.editor,1.0.0,com.hundsun.ares.studio.jres.flow2.editor,1511185860783
stopped,bundle,com.hundsun.ares.studio.jres.flow2.update,1.0.0,com.hundsun.ares.studio.jres.flow2.update,1511185860784
stopped,bundle,com.hundsun.ares.studio.jres.flow2.diagram,1.0.0,com.hundsun.ares.studio.jres.flow2.diagram,1511185860790
stopped,bundle,com.hundsun.ares.studio.jres.test.editor,1.0.0,com.hundsun.ares.studio.jres.test.editor,1511185860791
stopped,bundle,com.hundsun.ares.studio.jres.uidesigner.ext.impl,1.0.0,com.hundsun.ares.studio.jres.uidesigner.ext.impl,1511185860796
stopped,bundle,com.hundsun.ares.studio.jres.uidesigner.diagram,1.0.0,com.hundsun.ares.studio.jres.uidesigner.diagram,1511185860797
stopped,bundle,com.hundsun.ares.studio.jres.mda.compiler,1.0.0,com.hundsun.ares.studio.jres.mda.compiler,1511185860803
stopped,bundle,com.hundsun.ares.studio.jres.object.editor,1.0.0,com.hundsun.ares.studio.jres.object.editor,1511185860804
stopped,bundle,com.hundsun.ares.studio.jres.compiler2,1.0.0,com.hundsun.ares.studio.jres.compiler2,1511185860810
stopped,bundle,com.hundsun.ares.studio.jres.service2.edit,1.0.0,com.hundsun.ares.studio.jres.service2.edit,1511185860812
stopped,bundle,com.hundsun.ares.studio.jres.vsubflow.edit,1.0.0,com.hundsun.ares.studio.jres.vsubflow.edit,1511185860813
stopped,bundle,com.hundsun.ares.studio.jres.subflow.edit,1.0.0,com.hundsun.ares.studio.jres.subflow.edit,1511185860814
stopped,bundle,com.hundsun.ares.studio.jres.flow2.edit,1.0.0,com.hundsun.ares.studio.jres.flow2.edit,1511185860816
